start,stop,label,remarks
2022-05-30T13:35:29.900000Z,2022-05-30T13:39:39.900000Z,N,"instrument"
2022-05-31T07:01:09.385000Z,2022-05-31T07:06:09.385000Z,N,"instrument"
2022-06-03T10:01:34.625000Z,2022-06-03T10:05:44.625000Z,N,"instrument"
2022-06-11T13:51:33.165000Z,2022-06-11T23:59:53.165000Z,N,"instrument"
2022-06-12T00:00:00.000000Z,2022-06-13T11:07:30.000000Z,N,"instrument"
2022-06-13T11:11:46.565000Z,2022-06-13T14:13:26.565000Z,N,"instrument"
2022-06-13T14:17:52.775000Z,2022-06-13T15:36:12.775000Z,N,"instrument"
2022-06-13T15:41:05.655000Z,2022-06-13T23:59:25.655000Z,N,"instrument"
2022-06-14T00:00:00.000000Z,2022-06-14T14:47:30.000000Z,N,"instrument"
2022-06-14T19:05:17.175000Z,2022-06-14T23:59:27.175000Z,N,"instrument"
2022-06-15T00:00:00.000000Z,2022-06-16T07:31:40.000000Z,N,"instrument"
2022-06-16T07:41:42.785000Z,2022-06-16T08:00:52.785000Z,N,"instrument"
2022-06-16T08:07:36.035000Z,2022-06-16T08:38:26.035000Z,N,"instrument"
2022-06-16T08:50:49.545000Z,2022-06-16T09:45:49.545000Z,N,"instrument"
2022-08-15T22:40:54.845000Z,2022-08-15T22:55:54.845000Z,N,"instrument"
2022-08-16T06:35:00.000000Z,2022-08-16T06:39:10.000000Z,CAL,small event
2022-08-16T07:43:20.000000Z,2022-08-16T07:45:50.000000Z,CAL,small event
2022-08-16T12:32:30.000000Z,2022-08-16T12:41:40.000000Z,N,"anthropogenic"
2022-08-16T13:09:10.000000Z,2022-08-16T13:11:40.000000Z,N,"glitch"
2022-08-16T15:59:10.000000Z,2022-08-16T16:01:40.000000Z,N,"helicopter or anthropogenic"
2022-08-17T22:15:50.000000Z,2022-08-17T22:22:30.000000Z,CAL,
2022-08-17T22:27:30.000000Z,2022-08-17T22:30:00.000000Z,CAL,
2022-08-21T12:39:10.000000Z,2022-08-21T12:41:40.000000Z,N,"glitch"
2022-08-21T20:27:30.000000Z,2022-08-21T20:30:00.000000Z,CAL,small event
2022-08-29T13:31:09.410000Z,2022-08-29T13:34:29.410000Z,CAL,small event
2022-09-03T03:33:39.410000Z,2022-09-03T03:37:49.410000Z,CAL,small event
2022-09-03T03:41:09.410000Z,2022-09-03T03:53:39.410000Z,CAL,small event
2022-09-04T11:58:39.410000Z,2022-09-04T12:01:09.410000Z,N,"glitch"
2022-09-05T10:07:30.000000Z,2022-09-05T10:12:30.000000Z,CAL,small event
2022-09-11T00:05:23.400000Z,2022-09-11T00:07:03.400000Z,TEQ,
2022-09-14T11:27:07.355000Z,2022-09-14T11:32:07.355000Z,CAL,uncertain
2022-09-19T00:37:00.385000Z,2022-09-19T00:39:30.385000Z,CAL,uncertain
2022-09-19T18:14:59.410000Z,2022-09-19T18:22:33.350000Z,TEQ,"M 7.6 - 35 km SSW of Aguililla, Mexico"
2022-09-19T18:35:16.365000Z,2022-09-19T18:41:06.365000Z,TEQ,"M 7.6 - 35 km SSW of Aguililla, Mexico"
2022-09-21T22:12:12.395000Z,2022-09-21T22:15:32.395000Z,CAL,"uncertain"
2022-09-22T09:09:37.390000Z,2022-09-22T09:11:17.390000Z,CAL,small event
2022-10-04T06:55:14.395000Z,2022-10-04T06:57:44.395000Z,CAL,small event
2022-10-10T03:09:05.350000Z,2022-10-10T03:29:55.350000Z,CAL,Verified by Satellite images on 02-10 and 12-10
2022-10-13T17:20:45.350000Z,2022-10-13T17:28:15.350000Z,CAL,small event
2022-10-17T09:02:25.350000Z,2022-10-18T11:45:45.350000Z,CAL,
2022-10-18T23:44:05.350000Z,2022-10-18T23:48:15.350000Z,CAL,small event
2022-11-10T01:26:40.000000Z,2022-11-10T01:32:30.000000Z,CAL,small event
2022-11-15T11:58:38.390000Z,2022-11-15T12:00:18.390000Z,CAL,small event
2022-11-15T18:26:08.390000Z,2022-11-15T18:36:58.390000Z,CAL,
2022-11-16T20:44:28.390000Z,2022-11-16T20:47:48.390000Z,CAL,small event
2022-11-17T12:00:18.390000Z,2022-11-17T12:03:38.390000Z,CAL,
2022-11-18T07:17:48.390000Z,2022-11-18T07:22:48.390000Z,CAL,small event
2022-11-28T20:34:59.350000Z,2022-11-28T20:39:09.350000Z,CAL,small event
2022-12-19T04:51:40.000000Z,2022-12-19T04:54:10.000000Z,CAL,"small event, could also be rockfall"
2022-12-20T15:15:00.000000Z,2022-12-20T15:19:10.000000Z,CAL,small event
2022-12-26T12:00:00.000000Z,2022-12-26T12:03:20.000000Z,CAL,
2022-12-27T02:52:30.000000Z,2022-12-27T03:35:00.000000Z,CAL,No Satellite Data
2023-02-19T13:21:37.055000Z,2023-02-19T13:24:57.055000Z,N,"data gap + electronic spike"
2023-03-21T06:57:30.000000Z,2023-03-21T07:01:40.000000Z,REQ,North:69.088 East:-53.429 	Depth: 23.3 M: 3.9
2023-03-21T16:57:30.000000Z,2023-03-21T17:05:50.000000Z,TEQ,"M 6.5 - 40 km SSE of Jurm, Afghanista"
2023-04-02T18:22:30.000000Z,2023-04-02T18:26:40.000000Z,TEQ,"M 7.0 - 40 km ESE of Ambunti, Papua New Guinea"
2023-04-05T11:46:32.320000Z,2023-04-05T11:53:12.320000Z,CAL,
2023-04-10T20:34:02.320000Z,2023-04-10T20:38:12.320000Z,CAL,
2023-04-11T11:35:42.320000Z,2023-04-11T11:42:22.320000Z,CAL,
2023-04-11T12:31:32.320000Z,2023-04-11T12:41:32.320000Z,CAL,
2023-04-19T01:34:02.320000Z,2023-04-19T01:38:12.320000Z,REQ,North: 65.913 East: -37.537 Depth:5.00 M: 4.1
2023-04-27T16:51:32.320000Z,2023-04-27T16:53:12.320000Z,CAL,small event
2023-05-01T06:29:52.320000Z,2023-05-01T06:31:32.320000Z,CAL,small event
2023-05-07T14:38:12.320000Z,2023-05-07T14:39:52.320000Z,CAL,small event
2023-05-09T21:32:22.320000Z,2023-05-09T21:40:42.320000Z,CAL,
2023-05-09T21:44:52.320000Z,2023-05-09T21:48:12.320000Z,CAL,
2023-05-19T03:15:42.320000Z,2023-05-19T03:23:12.320000Z,TEQ,M 7.7 - southeast of the Loyalty Islands
2023-05-20T16:05:42.320000Z,2023-05-20T16:07:22.320000Z,CAL,"small event, could also be rockfall"
2023-06-10T11:09:02.320000Z,2023-06-10T11:12:22.320000Z,CAL,Seiche signal TEQ an hour before
2023-06-11T10:04:52.320000Z,2023-06-11T10:09:02.320000Z,TEQ," ""6.2M Tomakomai"""
2023-06-12T09:46:32.320000Z,2023-06-12T09:50:42.320000Z,CAL,
2023-06-15T18:24:52.320000Z,2023-06-15T18:29:52.320000Z,TEQ,Tongatapu Mag. 7.2
2023-07-03T09:22:22.320000Z,2023-07-03T09:39:52.320000Z,CAL,
2023-07-04T16:03:12.320000Z,2023-07-04T16:05:42.320000Z,CAL,small event
2023-07-07T21:14:52.320000Z,2023-07-07T21:20:42.320000Z,CAL,small event
2023-07-08T23:54:02.320000Z,2023-07-08T23:58:12.320000Z,CAL,small event
2023-07-09T22:29:02.320000Z,2023-07-09T22:33:12.320000Z,REQ,
2023-07-14T09:39:02.320000Z,2023-07-14T09:43:12.320000Z,TEQ,Salina Cruz Mag 6.5
2023-07-15T11:17:22.320000Z,2023-07-15T11:22:22.320000Z,CAL,uncertain
2023-07-16T06:55:42.320000Z,2023-07-16T07:04:52.320000Z,TEQ,"M 7.2 - 106 km S of Sand Point, Alaska"
2023-07-18T16:54:52.320000Z,2023-07-18T17:03:12.320000Z,N,"helicopter"
2023-07-18T17:24:52.320000Z,2023-07-18T17:31:32.320000Z,N,"helicopter"
2023-07-26T01:00:50.000000Z,2023-07-26T01:03:20.000000Z,CAL,small event
2023-07-27T06:56:40.000000Z,2023-07-27T07:06:40.000000Z,CAL,Potential Big Calving Event
2023-07-27T14:43:20.000000Z,2023-07-27T14:45:50.000000Z,N,"glitch"
2023-08-01T08:17:30.000000Z,2023-08-01T08:19:10.000000Z,CAL,small event
2023-08-03T00:21:40.000000Z,2023-08-03T00:33:20.000000Z,ID,
2023-08-15T03:56:40.000000Z,2023-08-15T04:03:20.000000Z,CAL,
2023-08-21T09:51:40.000000Z,2023-08-21T09:59:10.000000Z,CAL,with Seiche
2023-08-25T08:43:20.000000Z,2023-08-25T08:45:50.000000Z,CAL,small event
2023-08-25T09:32:30.000000Z,2023-08-25T09:39:10.000000Z,CAL,Verified by Satellite images on 22-08 and 28-08
