station,start,stop,confidence
ILL11,2022-06-05 11:22:00+00:00,2022-06-05 12:29:00+00:00,high
ILL11,2022-07-04 06:59:00+00:00,2022-07-04 06:59:00+00:00,earthquake
ILL11,2022-07-04 21:48:00+00:00,2022-07-04 22:39:00+00:00,high
ILL12,2022-06-05 11:20:00+00:00,2022-06-05 11:57:00+00:00,high
ILL12,2022-06-30 20:33:00+00:00,2022-06-30 21:08:00+00:00,high
ILL12,2022-07-04 06:59:00+00:00,2022-07-04 06:59:00+00:00,earthquake
ILL12,2022-07-04 21:41:00+00:00,2022-07-04 22:30:00+00:00,high
ILL12,2022-09-08 00:45:00+00:00,2022-09-08 01:33:00+00:00,high
ILL13,2022-06-05 11:20:00+00:00,2022-06-05 12:27:00+00:00,high
ILL13,2022-06-30 20:35:00+00:00,2022-06-30 21:24:00+00:00,high
ILL13,2022-07-04 06:59:00+00:00,2022-07-04 06:59:00+00:00,earthquake
ILL13,2022-07-04 21:47:00+00:00,2022-07-04 22:29:00+00:00,high
ILL13,2022-09-08 00:46:00+00:00,2022-09-08 01:53:00+00:00,high
ILL14,2022-06-05 11:07:00+00:00,2022-06-05 11:59:00+00:00,high
ILL14,2022-06-30 20:17:00+00:00,2022-06-30 21:18:00+00:00,high
ILL14,2022-07-04 06:59:00+00:00,2022-07-04 06:59:00+00:00,earthquake
ILL14,2022-07-04 21:36:00+00:00,2022-07-04 22:30:00+00:00,high
ILL14,2022-09-08 00:37:00+00:00,2022-09-08 01:25:00+00:00,high
ILL15,2022-06-30 20:12:00+00:00,2022-06-30 20:57:00+00:00,high
ILL15,2022-07-04 06:59:00+00:00,2022-07-04 06:59:00+00:00,earthquake
ILL15,2022-07-04 21:35:00+00:00,2022-07-04 22:26:00+00:00,high
ILL15,2022-09-08 00:36:00+00:00,2022-09-08 01:29:00+00:00,high
ILL16,2022-06-30 20:18:00+00:00,2022-06-30 21:16:00+00:00,high
ILL16,2022-07-04 06:59:00+00:00,2022-07-04 06:59:00+00:00,earthquake
ILL16,2022-07-04 21:39:00+00:00,2022-07-04 22:21:00+00:00,high
ILL16,2022-09-08 00:37:00+00:00,2022-09-08 01:27:00+00:00,high
ILL17,2022-06-05 11:04:00+00:00,2022-06-05 12:00:00+00:00,high
ILL17,2022-06-30 20:12:00+00:00,2022-06-30 21:16:00+00:00,high
ILL17,2022-07-04 06:59:00+00:00,2022-07-04 06:59:00+00:00,earthquake
ILL17,2022-07-04 21:40:00+00:00,2022-07-04 22:30:00+00:00,high
ILL17,2022-09-08 00:38:00+00:00,2022-09-08 01:31:00+00:00,high
ILL18,2022-06-30 20:21:00+00:00,2022-06-30 21:16:00+00:00,high
ILL18,2022-07-04 06:59:00+00:00,2022-07-04 06:59:00+00:00,earthquake
ILL18,2022-07-04 21:40:00+00:00,2022-07-04 22:18:00+00:00,high
ILL01,2017-05-19 03:53:00+00:00,2017-05-19 18:18:00+00:00,high
ILL01,2017-05-19 03:57:00+00:00,2017-05-19 15:46:00+00:00,high
ILL01,2017-05-29 16:55:00+00:00,2017-05-29 18:00:00+00:00,high
ILL01,2017-06-03 23:23:00+00:00,2017-06-03 23:56:00+00:00,high
ILL01,2017-06-03 23:24:00+00:00,2017-06-03 23:59:00+00:00,high
ILL01,2017-06-14 19:19:00+00:00,2017-06-14 20:30:00+00:00,high
ILL02,2017-05-29 16:56:00+00:00,2017-05-29 17:44:00+00:00,high
ILL02,2017-06-03 23:19:00+00:00,2017-06-04 00:41:00+00:00,high
ILL02,2017-06-03 23:21:00+00:00,2017-06-04 00:19:00+00:00,high
ILL02,2017-06-14 19:17:00+00:00,2017-06-14 20:11:00+00:00,high
ILL03,2017-05-19 03:53:00+00:00,2017-05-19 15:26:00+00:00,high
ILL03,2017-05-19 04:26:00+00:00,2017-05-19 15:24:00+00:00,high
ILL03,2017-05-29 16:54:00+00:00,2017-05-29 17:58:00+00:00,high
ILL03,2017-06-03 23:12:00+00:00,2017-06-04 00:42:00+00:00,high
ILL03,2017-06-03 23:22:00+00:00,2017-06-04 00:08:00+00:00,high
ILL03,2017-06-14 19:27:00+00:00,2017-06-14 20:03:00+00:00,high
ILL04,2017-05-19 04:31:00+00:00,2017-05-19 13:22:00+00:00,low
ILL04,2017-05-19 10:50:00+00:00,2017-05-19 11:42:00+00:00,high
ILL04,2017-05-29 16:48:00+00:00,2017-05-29 17:59:00+00:00,high
ILL04,2017-06-03 23:12:00+00:00,2017-06-04 00:41:00+00:00,high
ILL04,2017-06-03 23:14:00+00:00,2017-06-04 00:00:00+00:00,high
ILL05,2017-06-03 23:12:00+00:00,2017-06-04 00:01:00+00:00,high
ILL05,2017-06-03 23:15:00+00:00,2017-06-03 23:53:00+00:00,high
ILL06,2017-06-03 23:06:00+00:00,2017-06-03 23:54:00+00:00,high
ILL06,2017-06-03 23:17:00+00:00,2017-06-03 23:41:00+00:00,high
ILL07,2017-06-03 23:10:00+00:00,2017-06-04 00:03:00+00:00,high
ILL07,2017-06-03 23:18:00+00:00,2017-06-03 23:46:00+00:00,high
ILL07,2017-06-14 19:23:00+00:00,2017-06-14 20:03:00+00:00,high
ILL08,2017-05-19 04:20:00+00:00,2017-05-19 17:24:00+00:00,med
ILL08,2017-05-19 11:20:00+00:00,2017-05-19 13:14:00+00:00,high
ILL08,2017-05-29 16:49:00+00:00,2017-05-29 17:43:00+00:00,high
ILL08,2017-06-03 23:15:00+00:00,2017-06-04 00:16:00+00:00,high
ILL08,2017-06-03 23:18:00+00:00,2017-06-03 23:48:00+00:00,high
ILL11,2018-06-11 04:20:00+00:00,2018-06-11 15:27:00+00:00,high
ILL11,2018-06-12 19:05:00+00:00,2018-06-12 20:16:00+00:00,high
ILL11,2018-07-25 17:01:00+00:00,2018-07-25 17:39:00+00:00,high
ILL11,2018-08-08 17:56:00+00:00,2018-08-08 18:21:00+00:00,high
ILL11,2019-06-10 17:45:00+00:00,2019-06-10 19:04:00+00:00,high
ILL11,2019-06-10 22:19:00+00:00,2019-06-11 00:00:00+00:00,high
ILL11,2019-06-21 19:39:00+00:00,2019-06-21 20:40:00+00:00,high
ILL11,2019-07-01 17:33:00+00:00,2019-07-01 17:34:00+00:00,earthquake
ILL11,2019-07-01 23:23:00+00:00,2019-07-02 00:26:00+00:00,high
ILL11,2019-07-02 03:52:00+00:00,2019-07-02 03:52:00+00:00,earthquake
ILL11,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
ILL11,2019-07-02 22:38:00+00:00,2019-07-02 23:28:00+00:00,high
ILL11,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
ILL11,2019-07-15 04:11:00+00:00,2019-07-15 04:54:00+00:00,high
ILL11,2019-07-26 17:44:00+00:00,2019-07-26 18:36:00+00:00,high
ILL11,2019-08-11 17:05:00+00:00,2019-08-11 18:15:00+00:00,high
ILL11,2019-08-20 16:53:00+00:00,2019-08-20 17:49:00+00:00,high
ILL11,2020-06-04 15:27:00+00:00,2020-06-04 17:23:00+00:00,high
