station,start,stop,source,labels,remarks
ILL18,2018-08-09T14:34:13.720000Z,2018-08-09T15:09:13.720000Z,DTW,BF,"Strong on ILL18, nearby Gulley?...sustained signal…"
ILL12,2018-08-17T04:43:20.170000Z,2018-08-17T05:12:30.170000Z,DTW,BF,Possibly AN
ILL16,2019-05-24T12:50:00.030000Z,2019-05-24T12:59:10.030000Z,DTW,AN,None
ILL17,2019-06-15T09:34:10.420000Z,2019-06-15T10:08:20.420000Z,DTW,AN,None
ILL18,2019-06-19T15:05:50.000000Z,2019-06-19T15:20:50.000000Z,DTW,BF,"Strong on ILL18, nearby Gulley?...sustained signal…"
ILL12,2019-09-12T06:26:41.790000Z,2019-09-12T06:58:21.790000Z,DTW,AN,None
ILL12,2019-09-12T08:15:01.790000Z,2019-09-12T08:50:51.790000Z,DTW,AN,None
ILL12,2019-09-12T10:55:01.790000Z,2019-09-12T11:26:41.790000Z,DTW,AN,None
ILL14,2018-05-15T09:15:47.810000Z,2018-05-15T09:21:37.810000Z,DTW,AN,None
ILL14,2018-09-13T08:01:41.420000Z,2018-09-13T08:08:21.420000Z,DTW,AN,None
ILL14,2018-05-15T09:29:57.810000Z,2018-05-15T10:15:47.810000Z,DTW,AN,None
ILL14,2018-07-25T19:30:02.000000Z,2018-07-25T21:20:02.000000Z,DTW,AN,None
ILL14,2019-07-26T05:57:32.230000Z,2019-07-26T11:53:22.230000Z,DTW,AN,None
ILL14,2019-05-15T09:57:55.650000Z,2019-05-15T10:24:35.650000Z,DTW,AN,None
ILL14,2019-08-26T18:59:13.910000Z,2019-08-26T19:17:33.910000Z,DTW,AN,None
ILL14,2019-09-20T18:44:12.530000Z,2019-09-20T18:56:42.530000Z,DTW,AN,None
ILL14,2020-07-30T00:25:02.360000Z,2020-07-30T00:34:12.360000Z,DTW,AN,None
ILL14,2020-09-29T09:12:33.610000Z,2020-09-29T09:19:13.610000Z,DTW,AN,None
ILL18,2018-05-31T08:01:33.470003Z,2018-05-31T09:09:55.660003Z,STA-LTA,AN,"Looks like anthropogenic noise,  people walking around the station. "
ILL12,2018-06-28T05:06:12.830000Z,2018-06-28T06:06:23.950000Z,STA-LTA,AN,"Looks like anthropogenic noise,  people walking around or vehicles nearby the station. "
ILL13,2018-07-20T22:20:44.770000Z,2018-07-21T00:00:00.790000Z,STA-LTA,EQ,Interesting: the detection starts with an earthquake (Zermatt VS  Magnitude 2.6). Subsequently  about 15 minutes after the earthquake  a mass-movement-type event is visible on ILL11-ILL13. Perhaps a failure on Sagenschleif?
ILL13,2018-08-14T21:50:36.730033Z,2018-08-14T22:42:08.310033Z,STA-LTA,EQ,Similar to 07-20 detection but the earthquake is not the SED catalogue. Half an hour after the earthquake  ILL11-ILL13 recorded a mass-movement-type event   which is only mildly visible on ILL18. Perhaps a failure on the Sagenschleif?
ILL18,2018-08-28T05:28:29.080000Z,2018-08-28T06:15:11.770000Z,STA-LTA,UNK,Noise increase  not sure if related to torrential activity.
ILL18,2019-03-20T06:38:55.630000Z,2019-03-20T11:18:04.020000Z,STA-LTA,UNK,Difficult to label since only ILL18 was operational. Elevated noise does suggest a torrential process  perhaps snow melt? What is suspicious is that the noise level starts increasing around 05:00 UTC  which is 06:00 local time  which is a bit early for snow melt.
ILL18,2019-03-24T09:08:38.050000Z,2019-03-24T10:07:05.890000Z,STA-LTA,UNK,Same as above event on 2019-3-20  but signal is even weaker.
ILL18,2019-04-01T07:49:07.560000Z,2019-04-01T09:59:03.070000Z,STA-LTA,UNK,Same as above event on 2019-3-20.
ILL18,2019-04-03T05:57:32.940000Z,2019-04-03T07:10:25.100000Z,STA-LTA,UNK,Same as above event on 2019-3-20.
ILL17,2019-05-10T09:19:06.650000Z,2019-05-10T10:10:46.650000Z,DTW,IMN,Installation Noise.
ILL18,2019-05-13T12:48:19.070000Z,2019-05-13T14:48:39.170000Z,STA-LTA,IMN,Installation/maintenance type of noise.
ILL18,2019-05-15T08:15:44.090000Z,2019-05-15T09:13:06.480000Z,STA-LTA,IMN,Installation/maintenance type of noise.
ILL13,2019-05-26T07:54:33.540000Z,2019-05-26T08:28:54.220000Z,STA-LTA,TEQ,M 8.0 earthquake - 78 km NE of Navarro  Peru
ILL11,2019-07-13T17:10:57.940000Z,2019-07-13T17:47:52.950000Z,STA-LTA,UNK,Noisy day at ILL11 (only)  questionable if related to runoff.
ILL12,2019-09-02T05:16:26.200000Z,2019-09-02T05:51:39.440000Z,STA-LTA,AN,Anthropogenic noise  perhaps quarry work?
ILL12,2019-09-10T03:58:38.240000Z,2019-09-10T10:01:22.300000Z,STA-LTA,AN,Anthropogenic noise  perhaps quarry work?
ILL13,2019-09-21T03:14:59.290000Z,2019-09-21T14:17:06.640000Z,STA-LTA,UNK,Noisy day with lots of individual events  including earthquakes. May be of torrential nature  but this is highly speculative.
ILL12,2019-09-26T04:14:41.230000Z,2019-09-26T04:49:12.090000Z,STA-LTA,AN,Anthropogenic noise  perhaps quarry work?
ILL11,2019-10-13T03:06:26.600000Z,2019-10-13T06:53:20.860000Z,STA-LTA,AN,Harmonic anthropogenic noise  perhaps airplane   generator or rotating turbine of some kind.
ILL12,2019-10-23T07:27:31.550000Z,2019-10-23T08:07:55.800000Z,STA-LTA,IMN,Noise from station dismantling.
ILL18,2020-04-11T14:24:34.020000Z,2020-04-11T15:07:27.840000Z,STA-LTA,AN,Likely anthropogenic noise by people walking around the sensor.
ILL18,2020-05-26T05:51:02.700000Z,2020-05-26T07:10:23.350000Z,STA-LTA,EQ,Start corresponds to an earthquake  but also to an increase in noise lasting most of the day. Detection end is a temporary noise reduction.
ILL18,2020-05-31T09:25:16.200000Z,2020-05-31T10:53:17.150000Z,STA-LTA,EQ,Similar to 05-26 detection  but not a clear noise reduction at detection end.
ILL18,2020-08-21T04:28:00.620000Z,2020-08-21T07:13:26.620000Z,STA-LTA,EQ,Similar to 05-26 detection.
ILL12,2020-08-24T04:13:06.450000Z,2020-08-24T05:06:48.430000Z,STA-LTA,AN,Likely anthropogenic noise.
ILL11,2019-09-26T04:18:36.580000Z,2019-09-26T04:53:40.750000Z,STA-LTA,AN,None.
ILL12,2020-03-05T14:55:26.350000Z,2020-03-05T15:33:46.350000Z,IF,AN, looks like anthropogenic noise or sensor maintenance/instability.
ILL12,2019-05-10T05:13:55.650000Z,2019-05-10T09:08:55.650000Z,IF,AN, looks like anthropogenic noise or sensor maintenance/instability.
ILL18,2019-03-11T17:12:07.370000Z,2019-03-11T18:18:47.370000Z,IF,UNK, could be something no other stations active amplitudes not excessively large.
ILL18,2019-04-24T09:49:21.800000Z,2019-04-24T11:46:46.000000Z,STA-LTA,UNK, Elevated noise but impossible to classify since no other station was online at this time.
ILL11,2019-09-11T16:51:00.620000Z,2019-09-11T18:15:02.710000Z,STA-LTA,AN,Definitely local noise likely anthropogenic.
ILL18,2020-04-11T15:21:16.730000Z,2020-04-11T15:43:46.730000Z,DTW,AN,Not a debris flow signal some sort of anthropogenic noise.
ILL18,2020-08-07T06:28:39.070000Z,2020-08-07T07:24:31.710000Z,STA-LTA,HEL,Helicopter or airplane.
ILL18,2020-06-18T03:09:11.850000Z,2020-06-18T03:51:01.610000Z,STA-LTA,?,Local source ***not a debris flow
ILL18,2019-06-28T06:49:56.940000Z,2019-06-28T07:31:06.280000Z,STA-LTA,?,Local noise *** but not a debris flow.
ILL18,2020-07-11T11:53:47.790000Z,2020-07-11T12:45:39.960000Z,STA-LTA,EQ,Earthquake
ILL18,2018-08-13T09:04:18.090002Z,2018-08-13T09:45:50.840002Z,STA-LTA,?	Local noise, but not a debris flow.
ILL18,2018-07-20T18:59:28.370003Z,2018-07-20T20:35:06.870003Z,STA-LTA,MS,Looks like meteorological signals (thunder/lightening).
ILL18,2019-08-06T19:01:16.010000Z,2019-08-06T20:02:17.670000Z,STA-LTA,MS,Looks like meteorological signals (thunder/lightening).
ILL14,2018-08-31T13:03:36.680000Z,2018-08-31T13:06:56.680000Z,DTW,EQ,Looks like an earthquake (another one around 7:15)
ILL18,2021-04-12T02:54:34.660000Z,2021-04-12T03:49:07.680000Z,STA-LTA,?,"Not sure what is detected, but impossible to confirm, since only one station was active".
ILL13,2021-06-03T19:04:35.680000Z,2021-06-03T23:10:14.980000Z,STA-LTA,?,"Nothing, not sure what this triggered on".
ILL18,2021-06-10T03:26:30.810000Z,2021-06-10T04:21:33.270000Z,STA-LTA,"local noise","Nothing, perhaps local noise sources".
ILL18,2021-06-15T11:20:45.860000Z,2021-06-15T12:09:58.830000Z,STA-LTA,"local noise","Likely local noise".
ILL17,2021-06-20T08:33:18.020000Z,2021-06-20T10:25:48.020000Z,DTW,"local noise"",Likely local noise".
ILL12,2021-07-26T14:52:02.770000Z,2021-07-26T15:09:32.770000Z,IF,?,"Unclear, but unlikely a mass movement signal".
ILL11,2021-07-31T15:23:39.450000Z,2021-07-31T17:01:48.830000Z,STA-LTA,EQ,"Earthquake at 15:23 to 15:25".
ILL18,2021-08-12T20:19:48.310000Z,2021-08-12T21:06:55.380000Z,STA-LTA,"meteorological" ,"Regular swarms on all stations. Probably thunder signals".
ILL13,2021-10-03T10:52:19.010000Z,2021-10-04T00:00:01.800000Z,STA-LTA,?,Some extremely strong artifact signal.
ILL13,2021-10-04T02:46:39.280000Z,2021-10-04T04:14:30.220000Z,STA-LTA,EQ,"Looks like an earthquake".
ILL11,2021-10-04T04:09:48.880000Z,2021-10-04T13:19:33.080000Z,STA-LTA,EQ,"Another, much stronger/clearer earthquake".
ILL14,2021-10-04T07:30:51.770000Z,2021-10-04T07:34:11.770000Z,DTW,BF,"Very weird! Emergent, tremor-like signal in upper catchment. Beats me!".
ILL18,2022-05-15T17:06:49.720000Z,2022-05-15T18:07:13.230000Z,STA-LTA,"meteorological","Likely thunder signals".
ILL14,2022-06-08T12:32:36.270000Z,2022-06-08T12:36:46.270000Z,DTW,?,"Very weak signal, probably nothing".
ILL17,2022-06-11T06:44:22.650000Z,2022-06-11T07:03:32.650000Z,DTW,AN,"Likely anthropogenic".
ILL17,2022-06-11T07:37:42.650000Z,2022-06-11T10:17:42.650000Z,DTW,AN,"Likely anthropogenic".
ILL13,2022-07-04T04:26:20.590000Z,2022-07-04T07:03:08.100000Z,STA-LTA,EQ,"Several earthquakes".
ILL17,2022-07-08T14:46:02.650000Z,2022-07-08T15:06:02.650000Z,DTW,"noise","Very unclear, I think just noise"
ILL17,2022-07-09T05:51:52.650000Z,2022-07-09T06:11:52.650000Z,DTW,"noise","Very unclear, I think just noise"
ILL17,2022-07-10T05:54:22.650000Z,2022-07-10T08:13:32.650000Z,DTW,AN,"Clear signal, but nothing on other stations. Likely anthropogenic noise"
ILL17,2022-07-11T05:56:52.650000Z,2022-07-11T07:14:22.650000Z,DTW,AN,"Clear signal, but nothing on other stations. Likely anthropogenic noise"
ILL14,2022-07-22T09:47:44.780000Z,2022-07-22T15:01:54.780000Z,DTW,AN,"Clear signal, but nothing on other stations. Likely anthropogenic noise"
ILL14,2022-07-23T12:31:04.780000Z,2022-07-23T13:42:44.780000Z,DTW,EQ,"Noise with a strong earthquake signal at the end"
ILL14,2022-07-26T06:55:14.780000Z,2022-07-26T08:56:54.780000Z,DTW,AN,"Clear signal, but nothing on other stations. Likely anthropogenic/cow noise"
ILL14,2022-07-26T18:23:34.780000Z,2022-07-26T20:51:54.780000Z,DTW,AN,"Clear signal, but nothing on other stations. Likely anthropogenic/cow noise"
ILL14,2022-07-27T08:52:44.780000Z,2022-07-27T09:16:54.780000Z,DTW,?,"Nothing visible".
ILL14,2022-07-28T19:35:14.780000Z,2022-07-28T22:13:34.780000Z,DTW,AN,"Clear signal, but nothing on other stations. Likely anthropogenic/cow noise"
ILL12,2019-09-11T04:48:48.660000Z,2019-09-11T05:26:18.660000Z,DTW,AN,"Likely anthropogenic noise (quarry work). "
ILL14,2018-07-23T06:06:37.810000Z,2018-07-23T06:10:47.810000Z,DTW,?,"Probably nothing".
ILL14,2020-07-28T06:21:02.600000Z,2020-07-28T06:25:12.600000Z,DTW,?,"Probably nothing".
ILL17,2020-05-13T10:39:52.668000Z,2020-05-13T13:11:32.668000Z,DTW,"Installation noise".
ILL17,2018-05-15T08:09:20.590000Z,2018-05-15T08:22:40.590000Z,DTW,"Installation noise".
ILL17,2018-07-23T19:51:40.870001Z,2018-07-23T20:05:00.870001Z,DTW,"Probably cows or anthropogenic noise."
ILL11,2019-06-20T12:05:50.000000Z,2019-06-20T12:17:30.000000Z,DTW,?,"Seems like nothing".
