,station,channel,start,stop,confidence,Notes
0,ILL18,EHZ,2018-05-26T15:38:00.000000Z,2018-05-26T16:49:16.000000Z,low,"Perhaps some activity in the upper catchment, but uncertain."
1,ILL13,EHZ,2018-06-11T03:06:00.000000Z,2018-06-11T15:42:00.000000Z,low,
2,ILL11,HHZ,2018-06-11T04:20:00.000000Z,2018-06-11T15:27:00.000000Z,low,
3,ILL17,EHZ,2018-06-11T10:05:00.000000Z,2018-06-11T11:30:00.000000Z,high,
4,ILL18,EHZ,2018-06-11T10:15:00.000000Z,2018-06-11T11:01:30.000000Z,high,
5,ILL12,EHZ,2018-06-11T10:35:00.000000Z,2018-06-11T11:40:00.000000Z,high,
6,ILL17,EHZ,2018-06-12T17:19:00.000000Z,2018-06-12T19:52:00.000000Z,high,
7,ILL18,EHZ,2018-06-12T17:20:00.000000Z,2018-06-12T20:03:00.000000Z,high,
8,ILL12,EHZ,2018-06-12T18:06:00.000000Z,2018-06-12T20:23:00.000000Z,high,
9,ILL11,HHZ,2018-06-12T19:05:00.000000Z,2018-06-12T20:16:00.000000Z,high,
10,ILL17,EHZ,2018-06-16T08:11:10.000000Z,2018-06-16T08:47:50.000000Z,low,"Could be related to a slope failure, but very uncertain since no other stations show a clear signal."
11,ILL17,EHZ,2018-07-20T18:50:00.000000Z,2018-07-20T19:01:40.000000Z,low,"Probably catchment activity, but weak and only discernible when comparing with other stations."
12,ILL17,EHZ,2018-07-25T16:47:00.000000Z,2018-07-25T17:29:00.000000Z,high,
13,ILL15,EHZ,2018-07-25T16:48:00.000000Z,2018-07-25T17:17:00.000000Z,med,
14,ILL16,EHZ,2018-07-25T16:48:00.000000Z,2018-07-25T17:18:00.000000Z,med,
15,ILL14,EHZ,2018-07-25T16:48:00.000000Z,2018-07-25T17:19:00.000000Z,med,
16,ILL18,EHZ,2018-07-25T16:48:00.000000Z,2018-07-25T17:29:00.000000Z,high,
17,ILL12,EHZ,2018-07-25T16:51:00.000000Z,2018-07-25T17:32:00.000000Z,high,
18,ILL13,EHZ,2018-07-25T16:53:00.000000Z,2018-07-25T17:41:00.000000Z,high,
19,ILL11,HHZ,2018-07-25T17:01:00.000000Z,2018-07-25T17:39:00.000000Z,high,
20,ILL17,EHZ,2018-08-08T17:42:00.000000Z,2018-08-08T17:58:00.000000Z,high,
21,ILL15,EHZ,2018-08-08T17:42:00.000000Z,2018-08-08T18:03:00.000000Z,high,
22,ILL16,EHZ,2018-08-08T17:42:00.000000Z,2018-08-08T17:57:00.000000Z,high,
23,ILL14,EHZ,2018-08-08T17:43:00.000000Z,2018-08-08T18:10:00.000000Z,high,
24,ILL18,EHZ,2018-08-08T17:43:00.000000Z,2018-08-08T17:59:00.000000Z,high,
25,ILL12,EHZ,2018-08-08T17:46:00.000000Z,2018-08-08T18:10:00.000000Z,high,
26,ILL13,EHZ,2018-08-08T17:49:00.000000Z,2018-08-08T18:20:00.000000Z,high,
27,ILL11,HHZ,2018-08-08T17:56:00.000000Z,2018-08-08T18:21:00.000000Z,high,
28,ILL12,EHZ,2018-08-18T17:52:00.000000Z,2018-08-18T18:45:00.000000Z,high,potentially Sagenschleif
29,ILL13,EHZ,2018-08-18T18:18:00.000000Z,2018-08-18T18:52:00.000000Z,med,potentially Sagenschleif
30,ILL11,HHZ,2018-08-18T18:27:50.000000Z,2018-08-18T18:54:20.000000Z,med,potentially Sagenschleif
31,ILL18,EHZ,2018-09-30T20:05:05.000000Z,2018-09-30T20:22:35.000000Z,low,Catchment activity – Only ILL18 active.
32,ILL18,EHZ,2018-10-29T14:10:20.000000Z,2018-10-29T18:30:30.000000Z,high,
33,ILL18,EHZ,2018-10-29T22:20:00.000000Z,2018-10-29T23:59:10.000000Z,high,
34,ILL18,EHZ,2019-03-15T00:48:47.000000Z,2019-03-15T01:13:47.000000Z,low,"Not sure what this is. Could be melt-related torrential discharge, but very low confidence."
35,ILL16,EHZ,2019-06-10T17:05:00.000000Z,2019-06-10T18:32:00.000000Z,high,
36,ILL17,EHZ,2019-06-10T17:10:00.000000Z,2019-06-10T18:31:00.000000Z,low,
37,ILL14,EHZ,2019-06-10T17:11:00.000000Z,2019-06-10T18:34:00.000000Z,med,
38,ILL18,EHZ,2019-06-10T17:14:00.000000Z,2019-06-10T18:34:00.000000Z,med,
39,ILL12,EHZ,2019-06-10T17:16:00.000000Z,2019-06-10T18:55:00.000000Z,high,
40,ILL13,EHZ,2019-06-10T17:32:00.000000Z,2019-06-10T19:10:00.000000Z,high,
41,ILL11,HHZ,2019-06-10T17:45:00.000000Z,2019-06-10T19:04:00.000000Z,high,
42,ILL18,EHZ,2019-06-10T21:30:00.000000Z,2019-06-11T01:05:00.000000Z,high,
43,ILL17,EHZ,2019-06-10T21:30:00.000000Z,2019-06-11T01:00:00.000000Z,high,
44,ILL12,EHZ,2019-06-10T22:00:00.000000Z,2019-06-11T01:10:00.000000Z,high,
45,ILL16,EHZ,2019-06-10T22:05:00.000000Z,2019-06-11T00:01:00.000000Z,low,
46,ILL13,EHZ,2019-06-10T22:05:00.000000Z,2019-06-11T00:01:00.000000Z,high,
47,ILL11,HHZ,2019-06-10T22:20:00.000000Z,2019-06-11T00:30:00.000000Z,high,
48,ILL16,EHZ,2019-06-11T00:20:44.000000Z,2019-06-11T00:34:54.000000Z,low,"This is likely torrential activity, but I could not tell without looking at the other stations, as well."
49,ILL11,HHZ,2019-06-11T00:39:10.000000Z,2019-06-11T01:25:50.000000Z,low," ""This signal is part of the post-debris-flow tail."""
50,ILL16,EHZ,2019-06-12T11:32:43.000000Z,2019-06-12T11:42:43.000000Z,low,landslide
51,ILL17,EHZ,2019-06-15T08:27:40.000000Z,2019-06-15T09:31:50.000000Z,low,"This could be related to slope failure, but no other station has associated concurrent signals. So I would attach a low confidence. On the other hand later that day similar signals appear, which are also visible at other stations."
52,ILL14,EHZ,2019-06-20T08:45:00.000000Z,2019-06-20T09:45:00.000000Z,high,
53,ILL16,EHZ,2019-06-20T08:53:20.000000Z,2019-06-20T09:12:30.000000Z,high,
54,ILL18,EHZ,2019-06-20T08:53:20.000000Z,2019-06-20T09:34:10.000000Z,high,
55,ILL17,EHZ,2019-06-20T08:59:10.000000Z,2019-06-20T09:14:10.000000Z,high,odd signal present at ILL13
56,ILL12,EHZ,2019-06-20T09:18:20.000000Z,2019-06-20T10:25:00.000000Z,high,
57,ILL13,EHZ,2019-06-20T10:15:20.000000Z,2019-06-20T11:25:00.000000Z,high,
58,ILL17,EHZ,2019-06-21T19:26:00.000000Z,2019-06-21T20:16:00.000000Z,high,
59,ILL16,EHZ,2019-06-21T19:26:00.000000Z,2019-06-21T19:53:00.000000Z,high,
60,ILL14,EHZ,2019-06-21T19:26:00.000000Z,2019-06-21T20:11:00.000000Z,high,
61,ILL18,EHZ,2019-06-21T19:28:00.000000Z,2019-06-21T20:18:00.000000Z,high,
62,ILL13,EHZ,2019-06-21T19:31:00.000000Z,2019-06-21T20:40:00.000000Z,high,
63,ILL12,EHZ,2019-06-21T19:31:00.000000Z,2019-06-21T20:36:00.000000Z,high,
64,ILL11,HHZ,2019-06-21T19:39:00.000000Z,2019-06-21T20:40:00.000000Z,high,
65,ILL14,EHZ,2019-07-01T22:53:00.000000Z,2019-07-02T00:10:00.000000Z,high,
66,ILL18,EHZ,2019-07-01T22:53:00.000000Z,2019-07-01T23:59:00.000000Z,high,
67,ILL17,EHZ,2019-07-01T22:54:00.000000Z,2019-07-02T00:07:00.000000Z,high,
68,ILL16,EHZ,2019-07-01T23:09:00.000000Z,2019-07-02T00:08:00.000000Z,high,
69,ILL12,EHZ,2019-07-01T23:10:00.000000Z,2019-07-02T00:19:00.000000Z,high,
70,ILL13,EHZ,2019-07-01T23:19:00.000000Z,2019-07-02T00:26:00.000000Z,high,
71,ILL11,HHZ,2019-07-01T23:23:00.000000Z,2019-07-02T00:26:00.000000Z,high,
72,ILL16,EHZ,2019-07-02T21:57:00.000000Z,2019-07-02T22:23:00.000000Z,high,
73,ILL18,EHZ,2019-07-02T22:00:00.000000Z,2019-07-02T22:33:00.000000Z,high,
74,ILL17,EHZ,2019-07-02T22:00:00.000000Z,2019-07-02T22:29:00.000000Z,high,
75,ILL14,EHZ,2019-07-02T22:08:00.000000Z,2019-07-02T22:45:00.000000Z,high,
76,ILL12,EHZ,2019-07-02T22:10:00.000000Z,2019-07-02T22:40:00.000000Z,high,
77,ILL13,EHZ,2019-07-02T22:18:00.000000Z,2019-07-02T23:11:00.000000Z,high,
78,ILL11,HHZ,2019-07-02T22:28:20.000000Z,2019-07-02T22:33:20.000000Z,low,Pre debris-flow signal - Water discharge.  Interesting signal at 23:14 ~ Local/Regional earthquake at Sion magnitude 2.0
79,ILL11,HHZ,2019-07-02T22:38:00.000000Z,2019-07-02T23:28:00.000000Z,high,
80,ILL16,EHZ,2019-07-03T16:23:00.000000Z,2019-07-03T16:30:00.000000Z,low,
81,ILL18,EHZ,2019-07-03T16:25:00.000000Z,2019-07-03T17:15:00.000000Z,med,
82,ILL17,EHZ,2019-07-03T16:25:00.000000Z,2019-07-03T16:40:00.000000Z,med,
83,ILL12,EHZ,2019-07-03T16:45:20.000000Z,2019-07-03T17:40:30.000000Z,med,
84,ILL13,EHZ,2019-07-03T17:30:00.000000Z,2019-07-03T17:50:00.000000Z,med,
85,ILL11,EHZ,2019-07-03T18:05:20.000000Z,2019-07-03T18:50:30.000000Z,low,
86,ILL18,EHZ,2019-07-15T03:29:00.000000Z,2019-07-15T03:58:00.000000Z,high,
87,ILL16,EHZ,2019-07-15T03:29:00.000000Z,2019-07-15T03:52:00.000000Z,med,
88,ILL15,EHZ,2019-07-15T03:29:00.000000Z,2019-07-15T03:51:00.000000Z,med,
89,ILL17,EHZ,2019-07-15T03:29:00.000000Z,2019-07-15T03:55:00.000000Z,med,
90,ILL14,EHZ,2019-07-15T03:30:00.000000Z,2019-07-15T04:09:00.000000Z,med,
91,ILL12,EHZ,2019-07-15T03:40:00.000000Z,2019-07-15T04:15:00.000000Z,high,
92,ILL13,EHZ,2019-07-15T03:52:00.000000Z,2019-07-15T04:43:00.000000Z,high,
93,ILL11,HHZ,2019-07-15T04:07:30.000000Z,2019-07-15T04:54:00.000000Z,high,
94,ILL18,EHZ,2019-07-26T17:25:00.000000Z,2019-07-26T18:10:00.000000Z,high,
95,ILL14,EHZ,2019-07-26T17:26:00.000000Z,2019-07-26T18:07:00.000000Z,high,
96,ILL15,EHZ,2019-07-26T17:26:00.000000Z,2019-07-26T18:15:00.000000Z,med,
97,ILL16,EHZ,2019-07-26T17:26:00.000000Z,2019-07-26T18:11:00.000000Z,high,
