start,stop,scores,det_lens,most_anomalous_start,station,source
2021-08-07T18:30:51.770000Z,2021-08-07T18:38:21.770000Z,,,2021-08-07T18:31:41.770000Z,ILL14,DTW
2021-07-14T06:21:17.810000Z,2021-07-14T06:26:17.810000Z,,,2021-07-14T06:21:17.810000Z,ILL14,DTW
2022-07-29T11:46:54.780000Z,2022-07-29T11:53:34.780000Z,,,2022-07-29T11:46:54.780000Z,ILL14,DTW
2022-07-28T15:54:24.780000Z,2022-07-28T16:00:14.780000Z,,,2022-07-28T15:54:24.780000Z,ILL14,DTW
2022-06-22T22:31:04.780000Z,2022-06-22T22:37:44.780000Z,,,2022-06-22T22:31:54.780000Z,ILL14,DTW
2021-07-08T17:07:07.810000Z,2021-07-08T17:13:47.810000Z,,,2021-07-08T17:09:37.810000Z,ILL14,DTW
2022-07-27T08:24:24.780000Z,2022-07-27T08:49:24.780000Z,,,2022-07-27T08:24:24.780000Z,ILL14,DTW
2022-07-29T17:56:04.780000Z,2022-07-29T18:01:04.780000Z,,,2022-07-29T17:56:04.780000Z,ILL14,DTW
2022-07-25T23:16:54.780000Z,2022-07-26T00:01:04.780000Z,,,2022-07-25T23:36:04.780000Z,ILL14,DTW
2022-07-26T13:44:24.780000Z,2022-07-26T13:55:14.780000Z,,,2022-07-26T13:45:14.780000Z,ILL14,DTW
2022-06-28T15:01:04.780000Z,2022-06-28T15:15:14.780000Z,,,2022-06-28T15:01:54.780000Z,ILL14,DTW
2021-07-14T20:11:39.990000Z,2021-07-14T20:18:19.990000Z,,,2021-07-14T20:15:49.990000Z,ILL15,DTW
2021-08-20T06:49:09.990000Z,2021-08-20T06:54:59.990000Z,,,2021-08-20T06:51:39.990000Z,ILL15,DTW
2021-08-01T07:29:58.020000Z,2021-08-01T07:41:38.020000Z,,,2021-08-01T07:37:28.020000Z,ILL17,DTW
2022-07-08T12:28:32.650000Z,2022-07-08T12:39:22.650000Z,,,2022-07-08T12:28:32.650000Z,ILL17,DTW
2022-06-11T20:04:22.650000Z,2022-06-11T20:13:32.650000Z,,,2022-06-11T20:09:22.650000Z,ILL17,DTW
