station,start,stop,remarks
ILL14,2022-06-13 22:53:34+00:00,2022-06-13 22:58:34+00:00,"event effecting the upper stations only...rockfall?"
ILL17,2022-06-08T12:37:42.650000Z,2022-06-08T12:53:32.650000Z,"upper catchment activity?"
ILL17,2022-06-28T13:17:42.650000Z,2022-06-28T13:41:52.650000Z,"upper catchment activity?"
ILL17,2020-06-24T19:36:59.960000Z,2020-06-24T19:55:19.960000Z,"possible upper catchment activity...quiet on ILL14,15,16"
ILL17,2022-08-13T05:31:52.650000Z,2022-08-13T06:31:02.650000Z,"somewhat quiet on ILL17 and other stations"
ILL17,2022-07-07T13:06:02.650000Z,2022-07-07T13:32:42.650000Z,"possible upper catchment activity...quiet on ILL15,16"
ILL18,2021-08-11T05:10:58.680000Z,2021-08-11T06:10:09.120000Z,"possible upper catchment activity at the beginning of the detection. Airplane/Helicopter towards the end of the detection? Anthropogenic Noise at ILL16 towards the end"
ILL18,2021-05-01T17:55:32.710000Z,2021-05-01T19:58:31.680000Z,"Only ILL18 active...perhaps noise"
ILL18,2021-08-16T11:14:36.390000Z,2021-08-16T11:59:23.130000Z,"South Sandwich Islands region experienced multiple moderate-to-strong earthquakes according to USGS. Seems to manifest at ILL toward the beginning detection, but the arrival times do not match"
ILL18,2021-07-20T06:45:33.920000Z,2021-07-20T09:35:20.730000Z,"possible upper catchment activity"
ILL18,2021-05-27T11:31:27.190000Z,2021-05-27T13:12:33.260000Z,"Helicopter/Airplane towards the beginning pf the detection"
ILL18,2021-04-22T08:55:02.710000Z,2021-04-22T09:35:58.790000Z,"only ILL18 active...strong signals towards the beginning of the detection"
ILL18,2018-05-28T13:42:27.060003Z,2018-05-28T14:26:19.040003Z,"some type of noise?"
ILL18,2019-04-06T08:51:03.910000,2019-04-06T09:51:36.170000Z,"only ILL18 active..some type of noise?"
ILL18,2021-04-11T11:05:39.450000Z,2021-04-11T13:02:44.420000Z,"only ILL18 active..strong signal at the beginning of the detection, some noise towards the end?"
ILL18,2021-04-21T09:10:02.560000Z,2021-04-21T10:01:53.500000Z,"only ILL18 active...strong signals towards the beginning of the detection"
