,station,channel,start,stop,confidence,Notes
0,ILL18,EHZ,2018-05-26 15:38:00+00:00,2018-05-26 16:49:16+00:00,low,"Perhaps some activity in the upper catchment, but uncertain."
1,ILL11,HHZ,2018-06-11 04:20:00+00:00,2018-06-11 15:27:00+00:00,low,
2,ILL12,EHZ,2018-06-11 10:35:00+00:00,2018-06-11 11:40:00+00:00,high,
3,ILL13,EHZ,2018-06-11 03:06:00+00:00,2018-06-11 15:42:00+00:00,low,
4,ILL17,EHZ,2018-06-11 10:05:00+00:00,2018-06-11 11:30:00+00:00,high,
5,ILL18,EHZ,2018-06-11 10:15:00+00:00,2018-06-11 11:01:30+00:00,high,
6,ILL11,HHZ,2018-06-12 19:05:00+00:00,2018-06-12 20:16:00+00:00,high,
7,ILL12,EHZ,2018-06-12 18:06:00+00:00,2018-06-12 20:23:00+00:00,high,
8,ILL17,EHZ,2018-06-12 17:19:00+00:00,2018-06-12 19:52:00+00:00,high,
9,ILL18,EHZ,2018-06-12 17:20:00+00:00,2018-06-12 20:03:00+00:00,high,
10,ILL17,EHZ,2018-06-16 08:11:10+00:00,2018-06-16 08:47:50+00:00,low,"Could be related to a slope failure, but very uncertain since no other stations show a clear signal."
11,ILL17,EHZ,2018-07-20 18:50:00+00:00,2018-07-20 19:01:40+00:00,low,"Probably catchment activity, but weak and only discernible when comparing with other stations."
12,ILL11,HHZ,2018-07-25 17:01:00+00:00,2018-07-25 17:39:00+00:00,high,
13,ILL12,EHZ,2018-07-25 16:51:00+00:00,2018-07-25 17:32:00+00:00,high,
14,ILL13,EHZ,2018-07-25 16:53:00+00:00,2018-07-25 17:41:00+00:00,high,
15,ILL14,EHZ,2018-07-25 16:48:00+00:00,2018-07-25 17:19:00+00:00,med,
16,ILL15,EHZ,2018-07-25 16:48:00+00:00,2018-07-25 17:17:00+00:00,med,
17,ILL16,EHZ,2018-07-25 16:48:00+00:00,2018-07-25 17:18:00+00:00,med,
18,ILL17,EHZ,2018-07-25 16:47:00+00:00,2018-07-25 17:29:00+00:00,high,
19,ILL18,EHZ,2018-07-25 16:48:00+00:00,2018-07-25 17:29:00+00:00,high,
20,ILL11,HHZ,2018-08-08 17:56:00+00:00,2018-08-08 18:21:00+00:00,high,
21,ILL12,EHZ,2018-08-08 17:46:00+00:00,2018-08-08 18:10:00+00:00,high,
22,ILL13,EHZ,2018-08-08 17:49:00+00:00,2018-08-08 18:20:00+00:00,high,
23,ILL14,EHZ,2018-08-08 17:43:00+00:00,2018-08-08 18:10:00+00:00,high,
24,ILL15,EHZ,2018-08-08 17:42:00+00:00,2018-08-08 18:03:00+00:00,high,
25,ILL16,EHZ,2018-08-08 17:42:00+00:00,2018-08-08 17:57:00+00:00,high,
26,ILL17,EHZ,2018-08-08 17:42:00+00:00,2018-08-08 17:58:00+00:00,high,
27,ILL18,EHZ,2018-08-08 17:43:00+00:00,2018-08-08 17:59:00+00:00,high,
28,ILL11,HHZ,2018-08-18 18:27:50+00:00,2018-08-18 18:54:20+00:00,med,potentially Sagenschleif
29,ILL12,EHZ,2018-08-18 17:52:00+00:00,2018-08-18 18:45:00+00:00,high,potentially Sagenschleif
30,ILL13,EHZ,2018-08-18 18:18:00+00:00,2018-08-18 18:52:00+00:00,med,potentially Sagenschleif
31,ILL18,EHZ,2018-10-29 14:10:20+00:00,2018-10-29 18:30:30+00:00,high,
32,ILL18,EHZ,2018-10-29 22:20:00+00:00,2018-10-29 23:59:10+00:00,high,
33,ILL18,EHZ,2019-03-15 00:48:47+00:00,2019-03-15 01:13:47+00:00,low,"Not sure what this is. Could be melt-related torrential discharge, but very low confidence."
34,ILL11,HHZ,2019-06-10 17:45:00+00:00,2019-06-10 19:04:00+00:00,high,
35,ILL12,EHZ,2019-06-10 17:16:00+00:00,2019-06-10 18:55:00+00:00,high,
36,ILL13,EHZ,2019-06-10 17:32:00+00:00,2019-06-10 19:10:00+00:00,high,
37,ILL14,EHZ,2019-06-10 17:11:00+00:00,2019-06-10 18:34:00+00:00,med,
38,ILL16,EHZ,2019-06-10 17:05:00+00:00,2019-06-10 18:32:00+00:00,high,
39,ILL17,EHZ,2019-06-10 17:10:00+00:00,2019-06-10 18:31:00+00:00,low,
40,ILL18,EHZ,2019-06-10 17:14:00+00:00,2019-06-10 18:34:00+00:00,med,
41,ILL11,HHZ,2019-06-10 22:20:00+00:00,2019-06-11 00:30:00+00:00,high,
42,ILL11,HHZ,2019-06-11 00:39:10+00:00,2019-06-11 01:25:50+00:00,low," ""This signal is part of the post-debris-flow tail."""
43,ILL12,EHZ,2019-06-10 22:00:00+00:00,2019-06-11 01:10:00+00:00,high,
44,ILL13,EHZ,2019-06-10 22:05:00+00:00,2019-06-11 00:01:00+00:00,high,
45,ILL16,EHZ,2019-06-10 22:05:00+00:00,2019-06-11 00:01:00+00:00,low,
46,ILL17,EHZ,2019-06-10 21:30:00+00:00,2019-06-11 01:00:00+00:00,high,
47,ILL18,EHZ,2019-06-10 21:30:00+00:00,2019-06-11 01:05:00+00:00,high,
48,ILL16,EHZ,2019-06-12 11:32:43+00:00,2019-06-12 11:42:43+00:00,low,landslide
49,ILL17,EHZ,2019-06-15 08:27:40+00:00,2019-06-15 09:31:50+00:00,low,"This could be related to slope failure, but no other station has associated concurrent signals. So I would attach a low confidence. On the other hand later that day similar signals appear, which are also visible at other stations."
50,ILL16,EHZ,2019-06-11 00:20:44+00:00,2019-06-11 00:34:54+00:00,low,"This is likely torrential activity, but I could not tell without looking at the other stations, as well."
51,ILL12,EHZ,2019-06-20 09:18:20+00:00,2019-06-20 10:25:00+00:00,high,
52,ILL16,EHZ,2019-06-20 08:53:20+00:00,2019-06-20 09:12:30+00:00,high,
53,ILL17,EHZ,2019-06-20 08:59:10+00:00,2019-06-20 09:14:10+00:00,high,odd signal present at ILL13
54,ILL18,EHZ,2019-06-20 08:53:20+00:00,2019-06-20 09:34:10+00:00,high,
55,ILL13,EHZ,2019-06-20 10:15:20+00:00,2019-06-20 11:25:00+00:00,high,
56,ILL14,EHZ,2019-06-20 08:45:00+00:00,2019-06-20 09:45:00+00:00,high,
57,ILL11,HHZ,2019-06-21 19:39:00+00:00,2019-06-21 20:40:00+00:00,high,
